Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2016-09,21865338.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2016-10,15627750.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2016-11,25178979.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2016-12,39937550.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-01,14745802.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-02,17904538.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-03,21483559.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-04,15900085.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-05,16247858.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-06,21614813.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-07,20341383.0
A_A_M,A_A_M,Drift_50pct,1040257.71,3.94,2017-08,26216774.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2016-09,12904095.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2016-10,9404907.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2016-11,11515733.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2016-12,20560991.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-01,7202069.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-02,6711785.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-03,7855380.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-04,5769825.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-05,6956231.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-06,9618591.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-07,7820208.0
C_C_W_s81,C_C_W,Drift_50pct,1541245.96,15.18,2017-08,8905871.0
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2016-09,7971876.45
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2016-10,5199387.14
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2016-11,5878455.61
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2016-12,7686913.26
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-01,4890379.08
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-02,5260023.13
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-03,7198133.01
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-04,5684429.83
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-05,4510075.49
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-06,6625162.38
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-07,4482297.01
B_C_W_s54,B_C_W,"ETS(M,A,M)",572551.28,8.04,2017-08,5254944.99
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2016-09,4549410.23
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2016-10,3062336.75
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2016-11,3146705.24
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2016-12,4212396.38
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-01,2626776.57
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-02,2776569.29
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-03,3800336.38
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-04,2735854.06
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-05,2119464.3
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-06,2956107.37
B_C_W_s56,B_C_W,"ETS(M,A,M)",1944298.9,44.24,2017-07,2054038.85
